epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,7.84534,1.55617,5.0594,3.1818,1.88711,0,0.00744,0.98102,0.30551,0.15444,0.00646,0.65637,0.16838,0.06308,1.0562,4.72685,2.94901,1.70472,0,0.0001429,0.0001429,0.0001429
2,13.743,1.09844,3.42074,2.75633,1.6687,0,0.01205,0.98102,0.59709,0.38969,0.01205,0.98102,0.57739,0.36892,0.8115,3.15957,2.80424,1.52653,0,0.000298109,0.000298109,0.000298109
3,18.3806,0.91244,2.56029,2.11677,1.55961,0,0.87695,0.30415,0.52071,0.31546,0.89875,0.30576,0.50757,0.32022,1.01283,4.23541,2.51355,1.78464,0,0.000451244,0.000451244,0.000451244
4,22.2759,0.85867,2.3046,1.85735,1.51197,0,0.95449,0.18113,0.61063,0.36844,0.95812,0.17604,0.53423,0.36169,1.14676,4.30217,2.28709,1.98382,0,0.000602303,0.000602303,0.000602303
5,27.7136,0.90856,2.15643,1.72795,1.48049,0,0.87009,0.72249,0.89013,0.57814,0.83004,0.71067,0.85897,0.62645,1.01818,2.76861,1.56659,1.77622,0,0.000751288,0.000751288,0.000751288
6,32.4857,0.9166,2.00456,1.55595,1.50909,0,0.81825,0.68962,0.84294,0.45263,0.78958,0.77841,0.866,0.57162,1.26595,3.46498,1.96018,2.20084,0,0.000898198,0.000898198,0.000898198
7,36.3127,0.92924,1.95672,1.51854,1.52164,0,0.82251,0.74592,0.87466,0.5235,0.81399,0.73805,0.85757,0.60535,1.14356,2.19251,1.54108,2.06588,0,0.00104303,0.00104303,0.00104303
8,40.0229,0.93831,1.86346,1.46791,1.51774,0,0.66093,0.8089,0.8783,0.50627,0.65511,0.81004,0.85879,0.59085,1.13992,3.78375,2.50519,2.02683,0,0.00118579,0.00118579,0.00118579
9,46.5175,0.82384,1.83734,1.3706,1.44464,0,0.61066,0.7365,0.73104,0.46871,0.54364,0.64952,0.62154,0.36732,1.13733,3.79586,1.73785,1.73348,0,0.00132648,0.00132648,0.00132648
10,50.3334,0.92256,1.7482,1.508,1.53177,0,0.70465,0.79012,0.82772,0.44103,0.68968,0.66967,0.69637,0.36009,1.09527,3.62175,2.22447,1.86746,0,0.00134412,0.00134412,0.00134412
11,54.1879,0.92215,1.94856,1.46066,1.49367,0,0.82051,0.83017,0.88655,0.57403,0.80837,0.75662,0.80853,0.47468,0.9822,3.28753,1.85365,1.69339,0,0.00133469,0.00133469,0.00133469
12,59.502,0.95821,1.80409,1.4592,1.51662,0,0.71111,0.801,0.81894,0.52681,0.61417,0.69633,0.72101,0.43178,1.15055,3.20596,2.46989,1.90789,0,0.00132525,0.00132525,0.00132525
13,64.1607,0.93228,1.66625,1.39216,1.53235,0,0.69418,0.81401,0.81825,0.41916,0.67725,0.76924,0.78735,0.5067,1.19868,2.70189,2.50943,1.99789,0,0.00131582,0.00131582,0.00131582
14,67.9135,0.96475,1.9633,1.4706,1.52654,0,0.81576,0.82713,0.8461,0.51733,0.7991,0.80305,0.82056,0.57791,1.09686,1.82249,1.88212,1.87406,0,0.00130639,0.00130639,0.00130639
15,77.3966,0.97232,1.67704,1.4679,1.6063,0,0.60204,0.76848,0.764,0.48258,0.59324,0.74932,0.74736,0.48328,1.11339,2.09985,1.81141,1.83836,0,0.00129696,0.00129696,0.00129696
16,81.6034,0.92146,1.57353,1.36404,1.45056,0,0.61663,0.76083,0.79626,0.57384,0.61344,0.7467,0.78655,0.57206,1.06154,1.52344,1.79623,1.75552,0,0.00128753,0.00128753,0.00128753
17,85.3782,0.84866,1.74901,1.31778,1.45955,0,0.7565,0.82443,0.85141,0.6274,0.73454,0.80443,0.81508,0.6035,1.07065,1.65004,1.87522,1.68837,0,0.0012781,0.0012781,0.0012781
18,90.8694,0.90361,1.6195,1.2583,1.48463,0,0.64423,0.87592,0.81442,0.61417,0.68271,0.76241,0.79383,0.59199,1.03947,1.60847,2.0099,1.66637,0,0.00126867,0.00126867,0.00126867
