epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0896,0.80775,2.22126,2.34369,1.30778,0,0.98098,0.43023,0.49581,0.34584,0.97366,0.42369,0.48287,0.32908,0.88596,1.33459,2.03819,1.8477,0,0.00040008,0.00040008,0.00040008
2,40.3162,0.5408,0.61097,1.25735,1.08838,0,0.93664,0.39791,0.46703,0.22151,0.95761,0.43806,0.64273,0.47099,1.59923,1.54532,1.94524,3.26186,0,0.000808743,0.000808743,0.000808743
3,58.5284,0.57059,0.54741,1.12679,1.09544,0,0.84031,0.32635,0.34475,0.11721,0.8579,0.39562,0.56323,0.20881,1.60779,4.7723,2.92443,3.44475,0,0.00120916,0.00120916,0.00120916
4,75.7473,0.58247,0.60115,1.08534,1.09446,0,0.75991,0.54249,0.63831,0.40675,0.65718,0.44415,0.47873,0.24524,1.06569,3.50985,1.75778,1.88462,0,0.00160132,0.00160132,0.00160132
5,93.0747,0.5649,0.54502,0.96277,1.08947,0,0.67532,0.64162,0.74007,0.39879,0.67171,0.67902,0.75728,0.37243,1.47531,2.32929,1.80786,2.63609,0,0.00160099,0.00160099,0.00160099
6,111.24,0.58753,0.58191,0.92098,1.11181,0,0.67759,0.75108,0.83093,0.52181,0.68105,0.75501,0.83049,0.53987,1.16,1.34582,1.44138,2.10614,0,0.00158448,0.00158448,0.00158448
7,130.775,0.54942,0.54279,0.85639,1.0622,0,0.49761,0.83797,0.76371,0.38903,0.49949,0.84666,0.80225,0.48756,1.13638,0.85543,1.58001,1.94964,0,0.00156798,0.00156798,0.00156798
8,148.16,0.52801,0.57687,0.76477,1.07218,0,0.78771,0.8004,0.88702,0.49139,0.7881,0.76064,0.85354,0.40883,1.16585,3.59314,1.31853,2.23699,0,0.00155148,0.00155148,0.00155148
9,165.985,0.51757,0.53242,0.7435,1.07765,0,0.96583,0.98953,0.99105,0.74752,0.96583,0.98953,0.99105,0.77826,0.70818,0.62923,0.76265,1.57725,0,0.00153497,0.00153497,0.00153497
10,183.869,0.49025,0.49221,0.6754,1.03145,0,0.91287,0.94024,0.97298,0.74789,0.90791,0.93098,0.96198,0.73694,0.78674,0.85093,0.80918,1.47909,0,0.00151847,0.00151847,0.00151847
